,accuracy,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0.0,,
0,0.6402116402116402,12,68,19,1889,1.346212920248922,1.0,single_best
0,0.0,44,64,55,644,2.190493040736401,2.0,single_best
0,0.7806451612903226,10,16,11,1547,1.4981346235719994,3.0,single_best
0,0.03015075376884422,17,52,35,1982,1.2601990153959441,4.0,single_best
0,0.9661016949152542,2,4,3,588,2.000541953118942,5.0,single_best
0,0.868421052631579,7,21,13,1514,0.9454326684614638,6.0,single_best
0,0.7666666666666667,7,10,8,1494,1.6105114274381884,7.0,single_best
0,0.04597701149425287,14,22,19,1739,2.221803898368603,8.0,single_best
0,0.8608695652173913,4,99,40,1143,0.5550407001999713,9.0,single_best
0,0.8571428571428571,4,63,13,1672,0.6078154363551318,10.0,single_best
0,0.95,2,63,5,994,1.6834095572764771,11.0,single_best
0,0.9743589743589743,3,23,22,771,0.5073771416468233,12.0,single_best
0,0.13986013986013987,10,95,13,1425,1.9942427787835568,13.0,single_best
0,0.923469387755102,6,20,11,1951,1.3243037279894192,16.0,single_best
0,0.9230769230769231,3,16,4,514,0.5254077820084286,17.0,single_best
0,0.44776119402985076,5,74,11,668,2.032821612352161,18.0,single_best
0,0.05325443786982249,25,57,37,1681,1.4021129210402763,19.0,single_best
0,0.8431372549019608,8,17,13,1019,1.0347954002787332,20.0,single_best
