,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0,0.0,,
0,0.3915,3,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.4497,5,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.5556,10,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.5714,15,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.5979,20,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,25,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,30,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,35,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,40,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,45,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,50,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,60,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,70,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,80,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,90,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,100,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,200,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.6085,300,12,68,19,1889,1.346212920248922,21.0,ds_la_ola
0,0.0923,3,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,5,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.1385,10,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.1077,15,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,20,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,25,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,30,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,35,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,40,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,45,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,50,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,60,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,70,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,80,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,90,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,100,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,200,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.0923,300,44,64,55,644,2.190493040736401,22.0,ds_la_ola
0,0.5548,3,10,16,11,1547,1.4981346235719994,23.0,ds_la_ola
0,0.6129,5,10,16,11,1547,1.4981346235719994,23.0,ds_la_ola
0,0.7161,10,10,16,11,1547,1.4981346235719994,23.0,ds_la_ola
0,0.7419,15,10,16,11,1547,1.4981346235719994,23.0,ds_la_ola
0,0.7355,20,10,16,11,1547,1.4981346235719994,23.0,ds_la_ola
