,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0,0.0,,
0,0.5556,3,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6032,5,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6508,10,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6402,15,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,20,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,25,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,30,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,35,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,40,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,45,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,50,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,60,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,70,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,80,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,90,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6455,100,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6561,200,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.6561,300,12,68,19,1889,1.346212920248922,1.0,ds_knora_eliminate
0,0.0154,3,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0154,5,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0308,10,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0615,15,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,20,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,25,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,30,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,35,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,40,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,45,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,50,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,60,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,70,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,80,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,90,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,100,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,200,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.0769,300,44,64,55,644,2.190493040736401,2.0,ds_knora_eliminate
0,0.7032,3,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8065,5,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8387,10,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,15,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,20,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,25,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,30,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,35,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,40,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,45,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,50,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,60,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,70,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,80,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,90,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,100,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,200,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.8452,300,10,16,11,1547,1.4981346235719994,3.0,ds_knora_eliminate
0,0.4573,3,17,52,35,1982,1.2601990153959441,4.0,ds_knora_eliminate
0,0.5126,5,17,52,35,1982,1.2601990153959441,4.0,ds_knora_eliminate
0,0.5126,10,17,52,35,1982,1.2601990153959441,4.0,ds_knora_eliminate
0,0.5126,15,17,52,35,1982,1.2601990153959441,4.0,ds_knora_eliminate
