,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0,0.0,,
0,0.6402,3,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,5,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,10,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,15,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,20,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,25,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,30,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,35,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,40,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,45,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,50,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,60,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,70,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,80,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,90,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,100,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,200,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.6402,300,12,68,19,1889,1.346212920248922,1.0,ds_la_lca
0,0.1077,3,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,5,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,10,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,15,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,20,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,25,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,30,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,35,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,40,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,45,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,50,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,60,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,70,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,80,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,90,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,100,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,200,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.1077,300,44,64,55,644,2.190493040736401,2.0,ds_la_lca
0,0.8581,3,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8516,5,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,10,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,15,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8387,20,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8387,25,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,30,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,35,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,40,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8323,45,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8194,50,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8065,60,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8065,70,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8065,80,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8065,90,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.7935,100,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.8,200,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.7806,300,10,16,11,1547,1.4981346235719994,3.0,ds_la_lca
0,0.5427,3,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,5,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,10,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,15,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,20,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,25,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,30,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,35,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,40,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,45,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,50,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,60,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,70,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,80,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,90,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,100,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,200,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.5427,300,17,52,35,1982,1.2601990153959441,4.0,ds_la_lca
0,0.9661,3,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,5,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,10,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,15,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,20,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,25,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,30,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,35,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,40,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,45,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,50,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,60,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,70,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,80,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,90,2,4,3,588,2.000541953118942,5.0,ds_la_lca
0,0.9661,100,2,4,3,588,2.000541953118942,5.0,ds_la_lca
