,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0,0.0,,
0,0.3704,3,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.455,5,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.5661,10,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6032,15,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6349,20,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6349,25,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,30,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,35,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,40,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,45,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,50,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,60,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,70,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,80,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,90,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,100,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,200,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.6402,300,12,68,19,1889,1.346212920248922,1.0,ds_la_ola
0,0.0462,3,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.0308,5,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.0769,10,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.0769,15,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,20,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,25,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,30,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,35,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,40,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,45,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,50,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,60,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,70,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,80,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,90,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,100,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,200,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.1077,300,44,64,55,644,2.190493040736401,2.0,ds_la_ola
0,0.5097,3,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.5742,5,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.7161,10,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.7484,15,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.7806,20,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8129,25,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8194,30,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8258,35,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8258,40,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8323,45,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8194,50,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8065,60,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8065,70,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8065,80,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
0,0.8065,90,10,16,11,1547,1.4981346235719994,3.0,ds_la_ola
